rank,path,subject_id,date_id,gesture,repetition,correctness,posture,label,task,mahalanobis_sq,score01,speed,accel,jerk,smoothness
145,data/RawData/103_18_4_4_1_stand.txt,103,18,4,4,1,stand,stand,stand,7.759675863003509,0.8821603927986906,3.811435343058033e-06,0.4324206149973314,0.5675780613362875,0.0
146,data/RawData/307_18_4_10_1_stand.txt,307,18,4,10,1,stand,stand,stand,7.71815251906646,0.881342062193126,0.0,0.1752847580337078,0.8248788128062173,1.774681010654232e-07
147,data/RawData/303_18_6_11_1_stand.txt,303,18,6,11,1,stand,stand,stand,7.637697072827892,0.8805237315875614,0.00011343578248375628,0.0,1.1897094105543915,0.0
148,data/RawData/207_18_6_16_2_stand.txt,207,18,6,16,2,stand,stand,stand,7.614261497154798,0.8797054009819967,0.0005050573061342352,0.3023402129284587,0.6971486829822967,6.046782979268824e-06
149,data/RawData/107_18_5_3_1_stand.txt,107,18,5,3,1,stand,stand,stand,7.612372509310761,0.8788870703764321,1.1017870191456412e-05,0.09278554565716715,0.9072026029039142,8.335685957204844e-07
150,data/RawData/306_18_3_8_1_stand.txt,306,18,3,8,1,stand,stand,stand,7.56278694955662,0.8780687397708674,0.0,0.0,1.2399764751733782,0.0
151,data/RawData/303_18_3_10_1_stand.txt,303,18,3,10,1,stand,stand,stand,7.441290411639175,0.8772504091653028,0.0,0.0,1.233602663976459,0.0
152,data/RawData/206_18_6_14_2_stand.txt,206,18,6,14,2,stand,stand,stand,7.426079055209752,0.8764320785597381,0.0,0.0,1.2044788261356751,5.016446454969856e-07
153,data/RawData/207_18_1_7_2_stand.txt,207,18,1,7,2,stand,stand,stand,7.4179859011444576,0.8756137479541735,0.0006058463162207549,0.0,1.036898081294018,1.3207457804530646e-05
154,data/RawData/215_18_6_4_1_stand.txt,215,18,6,4,1,stand,stand,stand,7.379084514699891,0.8747954173486089,0.0008266252810765306,0.5883585830191649,0.41081387927138585,9.12428237592924e-07
155,data/RawData/105_18_4_3_1_stand.txt,105,18,4,3,1,stand,stand,stand,7.371733579060361,0.8739770867430442,0.0,0.0,1.3066101247203596,0.0
156,data/RawData/302_18_3_7_1_stand.txt,302,18,3,7,1,stand,stand,stand,7.289415778316927,0.8731587561374795,0.0,0.0,1.1799773305393662,0.0
157,data/RawData/207_18_6_15_2_stand.txt,207,18,6,15,2,stand,stand,stand,7.269233569802518,0.8723404255319149,0.0,0.0,1.1401408906937205,2.4047961728723003e-06
